Title	Series	Maker	Release Date	Actress	Age	U-18 Check
PEAC-005	PEAC		2013-04-23	Aika Ozaki	15y7m	
PEAC-008	PEAC		2013-05-23	Aika Ozaki	15y8m	
PEAC-009	PEAC		2013-07-23	Aika Ozaki	15y10m	
PEAC-014	PEAC		2013-08-23	Aika Ozaki	15y11m	
PDOL-014	PDOL		2013-10-23	Aika Ozaki	16y1m	
PIXY-024	PIXY		2013-12-23	Aika Ozaki	16y3m	
SBVD-0219	SBVD		2014-02-28	Aika Ozaki	16y5m	
MMR-389	MMR		2014-05-30	Aika Ozaki	16y8m	
MMR-405	MMR		2014-07-25	Aika Ozaki	16y10m	
ENRG-006	ENRG		2014-09-25	Aika Ozaki	16y12m	
JSSJ-131	JSSJ		2015-01-23	Aika Ozaki	17y4m	
TASKS-026	TASKS		2015-03-20	Aika Ozaki	17y5m	
IMOM-149	IMOM		2010-09-25	Akari Iinuma	12y9m	
FEIR-021	FEIR		2010-12-16	Akari Iinuma	12y12m	
IMOM-170	IMOM		2011-02-25	Akari Iinuma	13y2m	
ICDV-31306	ICDV		2011-07-01	Akari Iinuma	13y7m	
SSE-004	SSE		2011-11-18	Akari Iinuma	13y11m	
FEIR-0058	FEIR		2012-02-16	Akari Iinuma	14y2m	
FRSM-0001	FRSM		2012-04-27	Akari Iinuma	14y4m	
GUILD-021	GUILD		2012-11-22	Akari Iinuma	14y11m	
HTC-008	HTC		2013-07-19	Akari Iinuma	15y7m	
HTC-009	HTC		2013-08-14	Akari Iinuma	15y8m	
SCDV-19008	SCDV		2006-10-13	Ako Fujiwara	17y1m	
MWKD-5008	MWKD		2007-03-27	Ako Fujiwara	17y6m	
MOR-006	MOR		2007-04-26	Ako Fujiwara	17y7m	
PEACH-018D	PEACH		2007-07-28	Ako Fujiwara	17y10m	
EIGHT-076D	EIGHT		2007-08-18	Ako Fujiwara	17y11m	Very Likely
DMSM-7270	DMSM		2007-08-28	Ako Fujiwara	17y11m	Very Likely
JSSJ-078	JSSJ		2013-07-19	Ako Kimijima	15y2m	
PIST-038	PIST		2013-09-22	Ako Kimijima	15y4m	
LINE-030	LINE		2013-11-23	Ako Kimijima	15y6m	
JSSJ-108	JSSJ		2014-06-20	Ako Kimijima	16y1m	
SWPI-002	SWPI		2013-02-23	Akua Otsuki	15y1m	
SWPI-003	SWPI		2013-04-23	Akua Otsuki	15y3m	
MMR-264	MMR		2013-06-28	Akua Otsuki	15y5m	
SNNY-004	SNNY		2013-08-23	Akua Otsuki	15y7m	
BUQH-043	BUQH		2014-02-25	Akua Otsuki	16y1m	
EICCP-068	EICCP		2014-02-25	Akua Otsuki	16y1m	
SBVD-0225	SBVD		2014-04-25	Akua Otsuki	16y3m	
ROUG-001	ROUG		2014-06-25	Akua Otsuki	16y5m	
BSJDV-002	BSJDV		2014-06-26	Akua Otsuki	16y5m	
JKSS-007	JKSS		2014-08-23	Akua Otsuki	16y7m	
ROUG-002	ROUG		2015-02-20	Akua Otsuki	17y1m	
ROUG-003	ROUG		2015-06-24	Akua Otsuki	17y5m	
JMDV-232	JMDV		2015-08-21	Akua Otsuki	17y7m	
DOLC-004	DOLC		2012-07-20	Ami Ihara	17y9m	
MMR-197	MMR		2012-09-28	Ami Ihara	17y11m	Very Likely
OMEGA-068	OMEGA		2012-11-23	Ami Suenaga	17y8m	
MMR-231	MMR		2013-01-25	Ami Suenaga	17y10m	
LINE-028	LINE		2013-04-23	Ami Suenaga	18y1m	Possibly
ENFD-5602	ENFD		2014-11-21	Ami Yokoyama	17y11m	Very Likely
JSSJ-038	JSSJ		2012-03-16	Amina Watanabe	17y4m	
LINE-020	LINE		2012-05-23	Amina Watanabe	17y6m	
MMR-190	MMR		2012-07-27	Amina Watanabe	17y8m	
DOLC-005	DOLC		2012-09-21	Amina Watanabe	17y10m	
PIST-034	PIST		2012-11-23	Amina Watanabe	17y12m	Likely
SOPD-3820	SOPD		2006-09-22	Anna Oonishi	11y12m	
CLR-4044	CLR		2006-10-20	Anna Oonishi	12y1m	
WALZ-001	WALZ		2007-01-24	Anna Oonishi	12y4m	
BKDV-00229	BKDV		2007-01-25	Anna Oonishi	12y4m	
Noah-030	Noah		2007-03-23	Anna Oonishi	12y6m	
GARO-016	GARO		2007-03-31	Anna Oonishi	12y6m	
WAT-003	WAT		2007-09-01	Anna Oonishi	12y11m	
GGGG-003	GGGG		2007-09-07	Anna Oonishi	12y11m	
GGGG-004	GGGG		2007-10-07	Anna Oonishi	12y12m	
WAT-008	WAT		2007-12-01	Anna Oonishi	13y2m	
SHGAD-007	SHGAD		2007-12-18	Anna Oonishi	13y3m	
WAT-012	WAT		2008-06-01	Anna Oonishi	13y8m	
WAT-018	WAT		2008-06-15	Anna Oonishi	13y9m	
MMDX-001	MMDX		2008-06-27	Anna Oonishi	13y9m	
GPPP-007	GPPP		2008-08-29	Anna Oonishi	13y11m	
SHGAR-003	SHGAR		2008-09-29	Anna Oonishi	13y12m	
SHGAR-004	SHGAR		2008-10-29	Anna Oonishi	14y1m	
WAT-015	WAT		2008-12-10	Anna Oonishi	14y2m	
HMP-001	HMP		2010-06-06	Anna Oonishi	15y8m	
HMP-002	HMP		2010-08-08	Anna Oonishi	15y10m	
HMP-003	HMP		2010-11-23	Anna Oonishi	16y2m	
HMP-005	HMP		2010-12-25	Anna Oonishi	16y3m	
HMP-006	HMP		2011-02-26	Anna Oonishi	16y5m	
HMP-007	HMP		2011-04-10	Anna Oonishi	16y6m	
MSDV-001	MSDV		2011-04-26	Anna Oonishi	16y7m	
HMP-008	HMP		2011-05-20	Anna Oonishi	16y8m	
MSDV-003	MSDV		2011-05-26	Anna Oonishi	16y8m	
HMP-009	HMP		2011-06-10	Anna Oonishi	16y8m	
MSDV-004	MSDV		2011-06-26	Anna Oonishi	16y9m	
MSDV-005	MSDV		2011-07-26	Anna Oonishi	16y10m	
HMP-010	HMP		2011-08-10	Anna Oonishi	16y10m	
MSDV-006	MSDV		2011-08-26	Anna Oonishi	16y11m	
MSDV-007	MSDV		2011-09-26	Anna Oonishi	16y12m	
MSDV-009	MSDV		2011-11-26	Anna Oonishi	17y2m	
ARC-008	ARC		2006-11-01	Aoi Fujinaga	13y6m	
OHP-2002	OHP		2006-11-17	Aoi Fujinaga	13y7m	
ILD-008	ILD		2006-11-24	Aoi Fujinaga	13y7m	
PEACH-014D	PEACH		2006-12-24	Aoi Fujinaga	13y8m	
BKDV-00234	BKDV		2007-02-23	Aoi Fujinaga	13y10m	
WALZ-006	WALZ		2007-04-24	Aoi Fujinaga	13y12m	
TBX-013	TBX		2007-06-27	Aoi Fujinaga	14y2m	
EIGHT-078D	EIGHT		2007-08-18	Aoi Fujinaga	14y4m	
LINE-033	LINE		2014-01-23	Arisa Natsu	16y10m	
PIST-046	PIST		2014-03-23	Arisa Natsu	16y12m	
SHI-010	SHI		2014-05-31	Arisa Natsu	17y2m	
SNYY-005	SNYY		2014-07-30	Arisa Natsu	17y4m	
TASKS-024	TASKS		2014-12-20	Arisa Natsu	17y9m	
MMR-310	MMR		2013-11-01	Asaka Higashi	12y8m	
MMR-383	MMR		2014-05-30	Asaka Higashi	13y3m	
MMR-386	MMR		2014-05-30	Asaka Higashi	13y3m	
SBKD-0100	SBKD		2014-07-29	Asaka Higashi	13y5m	
MMR-AD003	MMR		2015-05-29	Asaka Higashi	14y3m	
SVBD-AD003	SVBD		2015-05-29	Asaka Higashi	14y3m	
TSBS-81021	TSBS		2015-06-19	Asaka Higashi	14y4m	
MMR-AR002	MMR		2015-06-26	Asaka Higashi	14y4m	
SEDV-602	SEDV		2006-10-01	Asami Kubota	16y6m	
DW-004	DW		2007-08-01	Asami Kubota	17y4m	
KIDM-032	KIDM		2007-10-05	Asami Kubota	17y6m	
KIDM-041	KIDM		2008-01-25	Asami Kubota	17y10m	
KIDM-063	KIDM		2008-05-30	Asami Kubota	18y2m	Unlikely
KIDM-077	KIDM		2008-08-08	Asami Kubota	18y4m	No
KIDM-094	KIDM		2008-10-31	Asami Kubota	18y7m	No
KIDM-105	KIDM		2008-12-12	Asami Kubota	18y8m	No
KIDM-121	KIDM		2009-03-27	Asami Kubota	18y12m	No
KIDM-128	KIDM		2009-05-15	Asami Kubota	19y1m	No
KIDM-144	KIDM		2009-08-28	Asami Kubota	19y5m	No
KIDM-152	KIDM		2009-10-16	Asami Kubota	19y6m	No
CLR-4034	CLR		2006-05-19	Ashida Misuzu	12y4m	
MMD-0008	MMD		2006-10-15	Ashida Misuzu	12y9m	
BKDV-00223	BKDV		2006-12-22	Ashida Misuzu	12y11m	
SOPD-3824	SOPD		2007-01-19	Ashida Misuzu	12y12m	
Noah-031	Noah		2007-04-20	Ashida Misuzu	13y3m	
WAT-001	WAT		2007-05-15	Ashida Misuzu	13y4m	
WALZ-008	WALZ		2007-06-25	Ashida Misuzu	13y5m	
WAT-002	WAT		2007-07-15	Ashida Misuzu	13y6m	
GGGG-002	GGGG		2007-08-07	Ashida Misuzu	13y7m	
WAT-004	WAT		2007-09-01	Ashida Misuzu	13y8m	
WAT-003	WAT		2007-09-01	Ashida Misuzu	13y8m	
GGGG-004	GGGG		2007-10-07	Ashida Misuzu	13y9m	
WAT-007	WAT		2007-12-01	Ashida Misuzu	13y11m	
MSR-08	MSR		2008-03-21	Ashida Misuzu	14y2m	
SHGAR-002	SHGAR		2008-04-28	Ashida Misuzu	14y3m	
WAT-011	WAT		2008-05-10	Ashida Misuzu	14y4m	
MMDX-002	MMDX		2008-06-27	Ashida Misuzu	14y5m	
WAT-015	WAT		2008-12-10	Ashida Misuzu	14y11m	
MSDV-015	MSDV		2012-05-26	Ashida Misuzu	18y4m	No
AILE-029	AILE		2013-10-13	Aya Kuhou	16y9m	
JKDD-003	JKDD		2013-12-23	Aya Kuhou	16y11m	
LGMD-01	LGMD		2014-02-20	Aya Kuhou	17y1m	
SNYY-002	SNYY		2014-04-28	Aya Kuhou	17y3m	
JKDD-007	JKDD		2014-06-30	Aya Kuhou	17y5m	
WAJK-006	WAJK		2014-08-23	Aya Kuhou	17y7m	
SHI-015	SHI		2014-10-28	Aya Kuhou	17y9m	
FEIR-0069	FEIR		2012-06-16	Ayaka Sakuga	13y12m	
PIXY-002	PIXY		2012-08-23	Ayaka Sakuga	14y2m	
MIU-009	MIU		2012-10-19	Ayaka Sakuga	14y4m	
SBKD-0064	SBKD		2012-12-25	Ayaka Sakuga	14y6m	
MMR-243	MMR		2013-02-22	Ayaka Sakuga	14y8m	
BSTAR-021	BSTAR		2013-04-26	Ayaka Sakuga	14y10m	
BSTAR-024	BSTAR		2013-06-28	Ayaka Sakuga	14y12m	
TSDV-41556	TSDV		2013-08-30	Ayaka Sakuga	15y2m	
MIST-016	MIST		2013-11-22	Ayaka Sakuga	15y5m	
MMR-351	MMR		2014-01-31	Ayaka Sakuga	15y7m	
SBKD-0095	SBKD		2014-03-28	Ayaka Sakuga	15y9m	
TASKS-027	TASKS		2015-04-20	Ayaka Sakuga	16y10m	
HPF-003	HPF		2015-07-17	Ayaka Sakuga	17y1m	
ZEUSFB-007	ZEUSFB		2016-11-16	Ayaka Sakuga	18y5m	No
JMRD-0005	JMRD		2012-06-29	Ayaka Watanabe		
MMR-299	MMR		2013-09-27	Ayame Goto	17y4m	
MMR-316	MMR		2013-11-22	Ayame Goto	17y6m	
JSSJ-047	JSSJ		2012-09-21	Azusa Manaka	16y7m	
JSSJ-053	JSSJ		2012-11-23	Azusa Manaka	16y9m	
OMGZ-069	OMGZ		2013-01-26	Azusa Manaka	16y11m	
PIST-035	PIST		2013-03-23	Azusa Manaka	17y1m	
MMR-242	MMR		2013-02-22	Ema Nakajima	17y2m	
PIST-036	PIST		2013-04-23	Ema Nakajima	17y4m	
MMR-265	MMR		2013-06-28	Ema Nakajima	17y6m	
SNNE-002	SNNE		2013-08-23	Ema Nakajima	17y8m	
JSSJ-086	JSSJ		2013-10-18	Ema Nakajima	17y10m	
MMR-331	MMR		2013-12-13	Ema Nakajima	17y11m	Very Likely
PIXY-005	PIXY		2012-10-30	Eri Sasaki	17y5m	
PDOL-004	PDOL		2012-12-23	Eri Sasaki	17y6m	
PIXY-012	PIXY		2013-02-23	Eri Sasaki	17y8m	
DSTAR-022	DSTAR		2013-04-26	Eri Sasaki	17y10m	
TSDV-41546	TSDV		2013-07-26	Eri Sasaki	18y1m	Possibly
ARC-010	ARC		2006-12-19	Erika Fujimiya	17y5m	
TBX-008	TBX		2007-04-25	Erika Fujimiya	17y9m	
WALZ-009	WALZ		2007-06-25	Erika Fujimiya	17y11m	Very Likely
SCDV-24007	SCDV		2007-07-27	Erika Fujimiya	17y12m	Likely
KBOOT-13	KBOOT		2007-09-28	Erika Fujimiya	18y2m	Unlikely
PAND-010	PAND		2007-12-18	Erika Fujimiya	18y5m	No
MOR-1004	MOR		2007-12-20	Erika Fujimiya	18y5m	No
GOKU-032D	GOKU		2008-01-26	Erika Fujimiya	18y6m	No
PEAI-007	PEAI		2013-08-23	Fukase Nana	13y5m	
PEAI-010	PEAI		2013-10-13	Fukase Nana	13y6m	
PEAI-014	PEAI		2013-12-13	Fukase Nana	13y8m	
SBKD-0093	SBKD		2014-02-27	Fukase Nana	13y11m	
OUTN-0001	OUTN		2014-03-16	Fukase Nana	13y11m	
OUTN-0002	OUTN		2014-04-16	Fukase Nana	13y12m	
ICDV-30186	ICDV		2014-04-18	Fukase Nana	14y1m	
OUTN-0003	OUTN		2014-05-16	Fukase Nana	14y1m	
JMKD-0022	JMKD		2014-06-27	Fukase Nana	14y3m	
OUTN-0005	OUTN		2014-07-16	Fukase Nana	14y3m	
OUTN-0006	OUTN		2014-08-16	Fukase Nana	14y5m	
ICDV-30204	ICDV		2014-08-22	Fukase Nana	14y5m	
OUTN-0007	OUTN		2014-09-16	Fukase Nana	14y6m	
OUTN-0008	OUTN		2014-10-16	Fukase Nana	14y7m	
ICDV-30214	ICDV		2014-12-19	Fukase Nana	14y9m	
JMKD-0031	JMKD		2015-02-27	Fukase Nana	14y11m	
TUBR-001	TUBR		2014-01-17	Futami Madoka	17y8m	
CTLD-001	CTLD		2014-02-23	Futami Madoka	17y9m	
JSSJ-044	JSSJ		2012-07-20	Hikari Maeda	15y12m	
JSSJ-048	JSSJ		2012-09-21	Hikari Maeda	16y2m	
MMR-220	MMR		2012-12-14	Hikari Maeda	16y5m	
LINE-026	LINE		2013-02-23	Hikari Maeda	16y7m	
MMR-262	MMR		2013-05-31	Hikari Maeda	16y10m	
FEIR-0085	FEIR		2013-10-25	Hikari Maeda	17y3m	
IMOM-148	IMOM		2010-09-28	Hikaru Takahashi	14y12m	
FEIR-0022	FEIR		2010-12-16	Hikaru Takahashi	15y3m	
ICDV-31302	ICDV		2011-04-28	Hikaru Takahashi	15y7m	
BSTAR-001	BSTAR		2011-10-28	Hikaru Takahashi	16y1m	
DSTAR-001	DSTAR		2011-10-28	Hikaru Takahashi	16y1m	
SOPAB-001	SOPAB		2012-02-24	Hikaru Takahashi	16y5m	
SOPA-001	SOPA		2012-02-24	Hikaru Takahashi	16y5m	
BSTAR-006	BSTAR		2012-05-25	Hikaru Takahashi	16y8m	
DSTAR-006	DSTAR		2012-05-25	Hikaru Takahashi	16y8m	
FRSM-0007	FRSM		2012-07-30	Hikaru Takahashi	16y10m	
BSTAR-013	BSTAR		2012-10-26	Hikaru Takahashi	17y1m	
DSTAR-013	DSTAR		2012-10-26	Hikaru Takahashi	17y1m	
GUILD-023	GUILD		2012-12-20	Hikaru Takahashi	17y3m	
DSTAR-019	DSTAR		2013-03-29	Hikaru Takahashi	17y6m	
PIXY-01	PIXY		2013-05-23	Hikaru Takahashi	17y8m	
LCDV-40612	LCDV		2013-11-20	Hikaru Takahashi	18y2m	Unlikely
SWPI-001	SWPI		2013-01-23	Hinata Aoba	15y1m	
JSSJ-063	JSSJ		2013-03-22	Hinata Aoba	15y3m	
GJJJ-001	GJJJ		2013-04-05	Hinata Aoba	15y3m	
MMR-257	MMR		2013-05-31	Hinata Aoba	15y5m	
SNNE-001	SNNE		2013-07-23	Hinata Aoba	15y7m	
SNNY-005	SNNY		2013-09-23	Hinata Aoba	15y9m	
MMR-315	MMR		2013-11-22	Hinata Aoba	15y11m	
JSSJ-095	JSSJ		2014-01-14	Hinata Aoba	16y1m	
JKSS-005	JKSS		2014-06-23	Hinata Aoba	16y6m	
SNNY-006	SNNY		2014-08-28	Hinata Aoba	16y8m	
TOMATO-004	TOMATO		2015-05-10	Hinata Aoba	17y5m	
AILE-001	AILE		2012-02-23	Honoka Kawai	15y2m	
CUM-008	CUM		2012-04-18	Honoka Kawai	15y4m	
AILE-005	AILE		2012-06-23	Honoka Kawai	15y6m	
SWPT-004	SWPT		2012-09-15	Honoka Kawai	15y9m	
AILE-014	AILE		2013-01-13	Honoka Kawai	16y1m	
AILE-022	AILE		2013-04-13	Honoka Kawai	16y4m	
AILE-025	AILE		2013-07-23	Honoka Kawai	16y7m	
AILE-501	AILE		2013-08-13	Honoka Kawai	16y8m	
JKDD-001	JKDD		2013-09-30	Honoka Kawai	16y9m	
JKDD-002	JKDD		2013-11-30	Honoka Kawai	16y11m	
JKDD-004	JKDD		2014-01-31	Honoka Kawai	17y1m	
JKDD-005	JKDD		2014-03-31	Honoka Kawai	17y3m	
JKDD-006	JKDD		2014-05-31	Honoka Kawai	17y5m	
SHI-011	SHI		2014-06-28	Honoka Kawai	17y6m	
CTLD-006	CTLD		2014-08-23	Honoka Kawai	17y8m	
AILEB-002	AILEB		2014-11-13	Honoka Kawai	17y11m	Very Likely
JSSJ-072	JSSJ		2013-06-21	Irie Koharu	16y12m	
PDOL-013	PDOL		2013-09-23	Irie Koharu	17y3m	
VEIS-001	VEIS		2007-08-10	Isa Aoki	14y10m	
GARO-021	GARO		2007-08-26	Isa Aoki	14y10m	
GGGG-004	GGGG		2007-10-07	Isa Aoki	14y12m	
LOLITA			2007-11-25	Isa Aoki	15y1m	
SGHAD-005	SGHAD		2007-11-27	Isa Aoki	15y1m	
OHP-2010	OHP		2008-01-18	Isa Aoki	15y3m	
VDOB-0005	VDOB		2008-03-25	Isa Aoki	15y5m	
GKSK-020	GKSK		2008-04-04	Isa Aoki	15y6m	
OHP-3008	OHP		2008-04-18	Isa Aoki	15y6m	
Meister 12			2008-06-27	Isa Aoki	15y9m	
COJD-015	COJD		2008-07-29	Isa Aoki	15y10m	
DAND-003	DAND		2008-08-04	Isa Aoki	15y10m	
LINE-001	LINE		2008-09-14	Isa Aoki	15y11m	
OHP-049	OHP		2008-11-21	Isa Aoki	16y1m	
OHP-3013	OHP		2009-01-16	Isa Aoki	16y3m	
GKSKW-041	GKSKW		2009-02-05	Isa Aoki	16y4m	
RM-003	RM		2009-03-01	Isa Aoki	16y5m	
UPGD-001S	UPGD		2009-03-20	Isa Aoki	16y5m	
RM-005	RM		2009-05-22	Isa Aoki	16y7m	
RM-006	RM		2009-06-26	Isa Aoki	16y8m	
JSSJ-001	JSSJ		2009-07-24	Isa Aoki	16y9m	
JSSJ-007	JSSJ		2009-09-25	Isa Aoki	16y11m	
JSSJ-008	JSSJ		2009-10-23	Isa Aoki	16y12m	
SOPD-6014	SOPD		2010-01-22	Isa Aoki	17y3m	
MILK			2006-11-11	Kahi Suzukawa	14y1m	
MILK-04	MILK		2006-12-01	Kahi Suzukawa	14y2m	
MILK-05	MILK		2006-12-26	Kahi Suzukawa	14y3m	
OHP-2006	OHP		2007-04-20	Kahi Suzukawa	14y6m	
SCDV-24005	SCDV		2007-06-29	Kahi Suzukawa	14y9m	
OHP-3003	OHP		2007-07-20	Kahi Suzukawa	14y9m	
TASKJ-025	TASKJ		2007-10-20	Kahi Suzukawa	14y12m	
JSSJ-029	JSSJ		2011-09-16	Kana Takasugi	16y7m	
JSSJ-031	JSSJ		2011-11-18	Kana Takasugi	16y9m	
TRSF-031	TRSF		2012-01-21	Kana Takasugi	16y12m	
JSSJ-039	JSSJ		2012-04-20	Kana Takasugi	17y3m	
SBVD-0145	SBVD		2012-06-29	Kana Takasugi	17y5m	
MMR-198	MMR		2012-09-28	Kana Takasugi	17y8m	
JSSJT-001	JSSJT		2012-10-19	Kana Takasugi	17y8m	
JSSJ-052	JSSJ		2012-11-23	Kana Takasugi	17y10m	
MMR-235	MMR		2013-01-25	Kana Takasugi	17y12m	Likely
JSSJ-067	JSSJ		2013-04-19	Kana Takasugi	18y2m	Unlikely
RM-002	RM		2009-01-23	Kanno Momo	16y10m	
LINE-008	LINE		2009-03-14	Kanno Momo	16y11m	
KU-025	KU		2009-06-26	Kanno Momo	17y3m	
JSSJ-003	JSSJ		2009-07-24	Kanno Momo	17y4m	
JSSJ-017	JSSJ		2010-06-18	Karen Arai	17y8m	
MMR-AA024	MMR		2015-08-28	Karen Hayama	17y10m	
MMR-AA028	MMR		2015-10-30	Karen Hayama	17y12m	Likely
JSSJ-154	JSSJ		2015-12-18	Karen Hayama	18y1m	Possibly
TRID-225	TRID		2012-09-22	Karen Kobayashi	15y5m	
DSTAR-015	DSTAR		2013-01-25	Karen Kobayashi	15y9m	
DSTAR-020	DSTAR		2013-04-26	Karen Kobayashi	15y12m	
BSTAR-020	BSTAR		2013-04-26	Karen Kobayashi	15y12m	
DSTAR-025	DSTAR		2013-07-26	Karen Kobayashi	16y3m	
BSTAR-025	BSTAR		2013-07-26	Karen Kobayashi	16y3m	
SSE-9001	SSE		2013-10-25	Karen Kobayashi	16y6m	
ENFD-5527	ENFD		2014-01-24	Karen Kobayashi	16y9m	
TSDV-41640	TSDV		2014-05-23	Karen Kobayashi	16y12m	
XAM-100	XAM		2014-08-27	Karen Kobayashi	17y4m	
DSTAR-027	DSTAR		2014-11-28	Karen Kobayashi	17y7m	
LCDV-40680	LCDV		2015-02-20	Karen Kobayashi	17y9m	
ARH-002	ARH		2012-06-10	Karen Tsukishima	15y5m	
ARH-006	ARH		2012-07-10	Karen Tsukishima	15y6m	
BLR-001	BLR		2012-07-20	Karen Tsukishima	15y6m	
ARS-001	ARS		2012-08-10	Karen Tsukishima	15y7m	
HNS-001	HNS		2012-11-10	Karen Tsukishima	15y10m	
GTRB-001	GTRB		2012-12-28	Karen Tsukishima	15y12m	
ARHB-002	ARHB		2013-03-20	Karen Tsukishima	16y2m	
GTRB-006	GTRB		2013-12-20	Karen Tsukishima	16y11m	
JTDV-020	JTDV		2007-01-26	Kasahara Marina	17y7m	
OHP-022	OHP		2007-06-22	Kasahara Marina	17y11m	Very Likely
DAND-003	DAND		2008-08-04	Kasahara Marina	19y1m	No
JSSJ-034	JSSJ		2012-01-27	Katou Marin	13y9m	
JSSJ-037	JSSJ		2012-03-16	Katou Marin	13y10m	
PRTN-02	PRTN		2012-05-31	Katou Marin	14y1m	
GUILD-011	GUILD		2012-07-23	Katou Marin	14y2m	
GUILD-017	GUILD		2012-09-20	Katou Marin	14y4m	
JSSJT-001	JSSJT		2012-10-19	Katou Marin	14y5m	
MMR-223	MMR		2012-12-14	Katou Marin	14y7m	
JSSJ-060	JSSJ		2013-02-22	Katou Marin	14y9m	
JSSJ-066	JSSJ		2013-04-19	Katou Marin	14y11m	
OHP-2017	OHP		2008-06-20	Kira Nanami	14y7m	
KU-009	KU		2008-07-25	Kira Nanami	14y8m	
OHP-3010	OHP		2008-08-15	Kira Nanami	14y8m	
MMR-AA023	MMR		2015-08-28	Kobayashi Kasumi	15y2m	
JSSJ-149	JSSJ		2015-10-16	Kobayashi Kasumi	15y4m	
MMR-AA035	MMR		2015-12-18	Kobayashi Kasumi	15y6m	
MMR-AA042	MMR		2016-02-26	Kobayashi Kasumi	15y8m	
JSSJ-164	JSSJ		2016-04-22	Kobayashi Kasumi	15y10m	
MMR-AA052	MMR		2016-06-24	Kobayashi Kasumi	15y12m	
MMR-AA059	MMR		2016-08-26	Kobayashi Kasumi	16y2m	
SVBD-AA005	SVBD		2016-10-28	Kobayashi Kasumi	16y4m	
CMP-047	CMP		2013-06-07	Kobayashi Sae	16y6m	
PIST-043	PIST		2014-01-23	Kohina Kato	16y9m	
PIST-045	PIST		2014-03-23	Kohina Kato	16y11m	
PIST-047	PIST		2014-05-23	Kohina Kato	17y1m	
GCOLB-001	GCOLB		2014-11-23	Kohina Kato	17y7m	
LTN-0001	LTN		2007-01-24	Mai Fujiko	16y8m	
LTN-0003	LTN		2007-05-23	Mai Fujiko	16y12m	
BBOB-0001	BBOB		2007-07-25	Mai Fujiko	17y2m	
PEACH-018D	PEACH		2007-07-28	Mai Fujiko	17y2m	
EIGHT-090D	EIGHT		2007-11-18	Mai Fujiko	17y5m	
BBOB-003	BBOB		2007-11-25	Mai Fujiko	17y6m	
BOM-001	BOM		2006-??-??	Mai Fujiko		
WAD-005	WAD		2006-03-24	Mai Takahashi	09y4m	
SSKW-046	SSKW		2006-06-25	Mai Takahashi	09y7m	
IMOM-001	IMOM		2008-01-25	Mai Takahashi	11y2m	
IMOM-002	IMOM		2008-02-25	Mai Takahashi	11y3m	
KNGK-001	KNGK		2008-03-25	Mai Takahashi	11y4m	
IMOM-010	IMOM		2008-05-25	Mai Takahashi	11y6m	
IMOM-012	IMOM		2008-06-25	Mai Takahashi	11y7m	
IMOG-052	IMOG		2008-09-25	Mai Takahashi	11y10m	
IMOG-054	IMOG		2008-10-25	Mai Takahashi	11y11m	
IMOM-037	IMOM		2008-12-25	Mai Takahashi	12y1m	
IMOG-060	IMOG		2009-01-25	Mai Takahashi	12y2m	
IMOM-053	IMOM		2009-03-25	Mai Takahashi	12y4m	
IMOM-067	IMOM		2009-05-25	Mai Takahashi	12y6m	
IMOM-075	IMOM		2009-07-25	Mai Takahashi	12y8m	
IMOG-134	IMOG		2010-02-10	Mai Takahashi	13y3m	
IMOY-004	IMOY		2010-08-25	Mai Takahashi	13y9m	
IMOF-044	IMOF		2010-09-25	Mai Takahashi	13y10m	
IMOM-150	IMOM		2010-10-10	Mai Takahashi	13y11m	
IMOM-159	IMOM		2010-11-10	Mai Takahashi	13y12m	
IMOF-058	IMOF		2011-01-15	Mai Takahashi	14y2m	
SSE-003	SSE		2011-10-21	Mai Takahashi	14y11m	
AJST-0001	AJST		2012-01-30	Mai Takahashi	15y3m	
TRID-216	TRID		2012-05-22	Mai Takahashi	15y6m	
DSTAR-009	DSTAR		2012-08-03	Mai Takahashi	15y9m	
PIXY-003	PIXY		2012-09-23	Mai Takahashi	15y10m	
DSTAR-014	DSTAR		2012-11-30	Mai Takahashi	16y1m	
SBKD-0068	SBKD		2013-01-30	Mai Takahashi	16y3m	
GUILD-031	GUILD		2013-03-21	Mai Takahashi	16y4m	
FEIR-0081	FEIR		2013-05-24	Mai Takahashi	16y6m	
OHDO-002	OHDO		2013-07-23	Mai Takahashi	16y8m	
ARC-006	ARC		2006-09-01	Mami Fujie	17y5m	
